rank,mean_sharpe,learning_rate,gamma,gae_lambda,transaction_cost,total_timesteps,window_length
1,0.1828631043536558,0.0001,0.99,0.95,0.0005,200000,252
2,0.10387606729810746,0.0001,0.95,0.95,0.0005,200000,252
3,0.10349385628344109,0.0003,0.99,0.95,0.0005,200000,252
4,0.09702826481521996,0.0003,0.95,0.95,0.0005,200000,252
5,0.0911421421509136,0.0001,0.99,0.95,0.0005,200000,126
6,0.08455561430398122,0.0001,0.99,0.9,0.0005,200000,252
7,0.07650857418265604,0.0003,0.99,0.9,0.0005,200000,252
8,0.07430792707256013,0.0003,0.99,0.9,0.0005,400000,126
9,0.06675320751633469,0.0001,0.9,0.95,0.0005,200000,126
10,0.06025228791350742,0.0001,0.9,0.95,0.0005,200000,252
11,0.059741596459246205,0.0003,0.9,0.95,0.0005,200000,252
12,0.05228481356185447,0.0001,0.95,0.95,0.0005,200000,126
13,0.049936696176841565,0.0003,0.9,0.85,0.0005,200000,252
14,0.045132724175601414,0.0001,0.99,0.85,0.0005,200000,252
15,0.037351044506201136,0.0001,0.95,0.9,0.0005,200000,252
16,0.023560203766215742,0.001,0.9,0.95,0.0005,200000,252
17,0.021455691442565872,0.0001,0.95,0.85,0.0005,200000,252
18,0.00997454414912477,0.0001,0.99,0.95,0.0005,400000,252
19,0.009851128000094057,0.0003,0.9,0.95,0.0005,400000,252
20,-0.0016690300651171681,0.0001,0.9,0.9,0.0005,200000,126
21,-0.0019790255457286707,0.0001,0.99,0.9,0.0005,200000,126
22,-0.006389782461723763,0.001,0.9,0.85,0.0005,200000,252
23,-0.008374178260438144,0.0001,0.9,0.9,0.0005,200000,252
24,-0.008414806946865564,0.001,0.9,0.9,0.0005,200000,252
25,-0.008605338830933526,0.0003,0.99,0.95,0.0005,200000,126
26,-0.015452804089582828,0.001,0.99,0.9,0.0005,200000,252
27,-0.016397124828255078,0.0003,0.95,0.9,0.0005,200000,252
28,-0.01994788137524429,0.0001,0.95,0.9,0.0005,200000,126
29,-0.03345268560194823,0.0003,0.99,0.85,0.0005,400000,252
30,-0.037746895451927366,0.0003,0.99,0.9,0.0005,400000,252
31,-0.04197634011500625,0.0001,0.9,0.85,0.0005,200000,252
32,-0.04724464803101447,0.0001,0.95,0.95,0.0005,400000,252
33,-0.04988963539641116,0.001,0.99,0.9,0.0005,400000,252
34,-0.05740772565534332,0.0003,0.99,0.85,0.0005,200000,252
35,-0.06509266734361385,0.001,0.9,0.95,0.0005,400000,252
36,-0.06753506431922317,0.0003,0.95,0.85,0.0005,200000,252
37,-0.06872544482785771,0.0001,0.99,0.85,0.0005,200000,126
38,-0.07101944878146499,0.0003,0.99,0.85,0.0005,400000,126
39,-0.0800427856483621,0.0001,0.99,0.9,0.0005,400000,252
40,-0.08701178559912504,0.0003,0.9,0.9,0.0005,200000,252
41,-0.08842950971013801,0.001,0.9,0.9,0.0005,400000,252
42,-0.09023405394698848,0.001,0.95,0.9,0.0005,200000,252
43,-0.09107225110382851,0.001,0.99,0.95,0.0005,400000,126
44,-0.09531455578292354,0.0003,0.95,0.95,0.0005,400000,126
45,-0.09613925533184492,0.0003,0.95,0.95,0.0005,200000,126
46,-0.09745855681148392,0.0001,0.9,0.85,0.0005,200000,126
47,-0.10348278484404261,0.0003,0.99,0.9,0.0005,200000,126
48,-0.10606987403173507,0.0001,0.9,0.9,0.0005,400000,126
49,-0.1084258266262517,0.0001,0.99,0.85,0.0005,400000,252
50,-0.11012610795693828,0.0001,0.95,0.85,0.0005,200000,126
51,-0.11300373729815527,0.001,0.9,0.9,0.0005,400000,126
52,-0.11742881389227973,0.001,0.99,0.85,0.0005,400000,252
53,-0.11787878881710555,0.001,0.99,0.9,0.0005,200000,126
54,-0.11860829528387935,0.001,0.95,0.85,0.0005,400000,252
55,-0.13383254293006666,0.001,0.99,0.85,0.0005,400000,126
56,-0.13510756658690387,0.001,0.95,0.9,0.0005,400000,126
57,-0.13715208453843006,0.0001,0.95,0.85,0.0005,400000,252
58,-0.13733262219455555,0.001,0.99,0.9,0.0005,400000,126
59,-0.13834094483449674,0.0003,0.99,0.95,0.0005,400000,252
60,-0.15382007732644748,0.001,0.99,0.85,0.0005,200000,252
61,-0.15913647690420982,0.001,0.9,0.85,0.0005,400000,252
62,-0.16304428100617305,0.001,0.99,0.95,0.0005,200000,126
63,-0.16365268302895575,0.0001,0.9,0.95,0.0005,400000,126
64,-0.16408707291633695,0.0001,0.95,0.9,0.0005,400000,252
65,-0.16730230139433633,0.0001,0.9,0.95,0.0005,400000,252
66,-0.17253106883246472,0.0003,0.9,0.9,0.0005,200000,126
67,-0.17516416244325764,0.0001,0.99,0.95,0.0005,400000,126
68,-0.17684860614753295,0.001,0.95,0.85,0.0005,200000,252
69,-0.17722183067235253,0.0001,0.9,0.85,0.0005,400000,126
70,-0.18199624892658073,0.0003,0.95,0.9,0.0005,200000,126
71,-0.18298055276182942,0.0001,0.9,0.85,0.0005,400000,252
72,-0.18663132875410496,0.0003,0.99,0.85,0.0005,200000,126
73,-0.18694981302425887,0.0003,0.95,0.9,0.0005,400000,252
74,-0.19007226417025316,0.001,0.95,0.9,0.0005,400000,252
75,-0.19044503070963548,0.001,0.95,0.95,0.0005,200000,252
76,-0.19577826554277175,0.0003,0.95,0.85,0.0005,400000,126
77,-0.196756937815155,0.0001,0.95,0.85,0.0005,400000,126
78,-0.19713581728309837,0.0003,0.95,0.95,0.0005,400000,252
79,-0.1987383092867245,0.001,0.95,0.95,0.0005,400000,252
80,-0.20010784779597415,0.0001,0.99,0.85,0.0005,400000,126
81,-0.2011061763158608,0.001,0.99,0.85,0.0005,200000,126
82,-0.20464253791258802,0.0001,0.95,0.95,0.0005,400000,126
83,-0.2114227399739755,0.0001,0.95,0.9,0.0005,400000,126
84,-0.2149424422679372,0.0003,0.9,0.85,0.0005,200000,126
85,-0.22722723960484492,0.0003,0.9,0.95,0.0005,200000,126
86,-0.22785209671496262,0.0001,0.99,0.9,0.0005,400000,126
87,-0.23170211128328574,0.0003,0.95,0.85,0.0005,200000,126
88,-0.23405730286467527,0.0003,0.9,0.85,0.0005,400000,252
89,-0.2345496361529442,0.0001,0.9,0.9,0.0005,400000,252
90,-0.23763979847424666,0.001,0.95,0.9,0.0005,200000,126
91,-0.24002224790509322,0.001,0.95,0.95,0.0005,200000,126
92,-0.24007143869168912,0.0003,0.9,0.85,0.0005,400000,126
93,-0.24642525651792235,0.001,0.99,0.95,0.0005,400000,252
94,-0.24965470361647638,0.001,0.99,0.95,0.0005,200000,252
95,-0.2529318031844508,0.001,0.95,0.95,0.0005,400000,126
96,-0.2594906086448003,0.0003,0.99,0.95,0.0005,400000,126
97,-0.278276690198448,0.001,0.9,0.95,0.0005,200000,126
98,-0.30322671118867456,0.0003,0.95,0.9,0.0005,400000,126
99,-0.3230265628201859,0.0003,0.9,0.95,0.0005,400000,126
100,-0.3293036263735667,0.001,0.9,0.9,0.0005,200000,126
101,-0.3422141578924834,0.001,0.9,0.85,0.0005,200000,126
102,-0.34255663079313453,0.0003,0.9,0.9,0.0005,400000,126
103,-0.3444125453326911,0.0003,0.95,0.85,0.0005,400000,252
104,-0.34795601025496464,0.0003,0.9,0.9,0.0005,400000,252
105,-0.3545099239857921,0.001,0.9,0.95,0.0005,400000,126
106,-0.376591921633628,0.001,0.95,0.85,0.0005,200000,126
107,-0.3965055685681451,0.001,0.9,0.85,0.0005,400000,126
108,-0.413266538696025,0.0001,0.99,0.95,0.001,200000,252
109,-0.444083775427424,0.001,0.95,0.85,0.0005,400000,126
110,-0.4735084961375946,0.0001,0.9,0.95,0.001,200000,126
111,-0.4746617945387388,0.0001,0.99,0.95,0.001,200000,126
112,-0.4891557978828305,0.0001,0.95,0.95,0.001,200000,252
113,-0.5043070808204736,0.0001,0.95,0.95,0.001,200000,126
114,-0.5046360909453328,0.0001,0.9,0.95,0.001,200000,252
115,-0.5106569742639754,0.0001,0.99,0.9,0.001,200000,252
116,-0.5334080294122087,0.0001,0.95,0.9,0.001,200000,252
117,-0.5627249871461398,0.0001,0.9,0.9,0.001,200000,126
118,-0.5632318896319631,0.0003,0.95,0.95,0.001,200000,252
119,-0.5639453192487524,0.0001,0.99,0.85,0.001,200000,252
120,-0.5642266696285846,0.0003,0.9,0.95,0.001,200000,252
121,-0.5794590567277265,0.0001,0.9,0.9,0.001,200000,252
122,-0.584616277589885,0.0001,0.95,0.85,0.001,200000,252
123,-0.5857391539776952,0.0001,0.99,0.9,0.001,200000,126
124,-0.5938339781297579,0.0001,0.95,0.9,0.001,200000,126
125,-0.5984438572560785,0.0003,0.99,0.95,0.001,200000,252
126,-0.6266263086496175,0.0001,0.9,0.85,0.001,200000,252
127,-0.6319628049582927,0.0001,0.95,0.95,0.001,400000,252
128,-0.6507873901712448,0.0001,0.99,0.95,0.001,400000,252
129,-0.6520913682114043,0.0001,0.9,0.85,0.001,200000,126
130,-0.6549745504405855,0.0001,0.99,0.85,0.001,200000,126
131,-0.6660597093153333,0.0001,0.95,0.85,0.001,200000,126
132,-0.6830939874948898,0.0001,0.99,0.9,0.001,400000,252
133,-0.6857721696619081,0.0001,0.9,0.9,0.001,400000,126
134,-0.6858216292311295,0.0001,0.9,0.95,0.001,400000,126
135,-0.6953631585444465,0.0003,0.99,0.9,0.001,200000,252
136,-0.7043529604156977,0.0003,0.99,0.85,0.001,200000,252
137,-0.7117857382340002,0.0003,0.95,0.95,0.001,200000,126
138,-0.7298260010718026,0.0001,0.9,0.95,0.001,400000,252
139,-0.7406257292689475,0.0003,0.99,0.95,0.001,200000,126
140,-0.76314170018982,0.0003,0.95,0.95,0.001,400000,252
141,-0.7654744858021975,0.0003,0.95,0.9,0.001,200000,252
142,-0.7756583250670172,0.0001,0.9,0.85,0.001,400000,126
143,-0.7768497792114717,0.0001,0.95,0.9,0.001,400000,252
144,-0.7867563421908278,0.001,0.99,0.85,0.001,200000,126
145,-0.7915180407496608,0.001,0.99,0.95,0.001,200000,126
146,-0.7948256738409051,0.0001,0.95,0.9,0.001,400000,126
147,-0.7954218293042907,0.0001,0.99,0.85,0.001,400000,252
148,-0.798974784354399,0.0001,0.95,0.95,0.001,400000,126
149,-0.8079079110941549,0.0003,0.95,0.95,0.001,400000,126
150,-0.8156538299074286,0.0003,0.9,0.85,0.001,200000,252
151,-0.8221068029638019,0.001,0.9,0.95,0.001,200000,252
152,-0.8232548579631942,0.0001,0.95,0.85,0.001,400000,252
153,-0.8311265724880478,0.0001,0.95,0.85,0.001,400000,126
154,-0.8340307747197423,0.0003,0.95,0.9,0.001,200000,126
155,-0.8355242797381376,0.001,0.95,0.9,0.001,400000,252
156,-0.8364062139844517,0.001,0.9,0.9,0.001,400000,252
157,-0.8393943845516318,0.0003,0.99,0.9,0.001,200000,126
158,-0.8466132299950507,0.001,0.95,0.9,0.001,200000,252
159,-0.8466831256884069,0.0003,0.9,0.9,0.001,200000,252
160,-0.8475785499910179,0.0003,0.9,0.85,0.001,400000,126
161,-0.8486689966915616,0.0001,0.9,0.9,0.001,400000,252
162,-0.8504597152207523,0.0001,0.99,0.9,0.001,400000,126
163,-0.8530280422881905,0.001,0.99,0.95,0.001,400000,126
164,-0.8530869915722682,0.001,0.99,0.85,0.001,200000,252
165,-0.8570914865184008,0.0001,0.99,0.85,0.001,400000,126
166,-0.857855763041038,0.0001,0.99,0.95,0.001,400000,126
167,-0.8681953789205066,0.0001,0.9,0.85,0.001,400000,252
168,-0.8691347649024292,0.001,0.99,0.85,0.001,400000,126
169,-0.8746993005725718,0.0003,0.99,0.95,0.001,400000,252
170,-0.8758988108757336,0.001,0.99,0.95,0.001,400000,252
171,-0.8866490837835003,0.001,0.99,0.9,0.001,400000,252
172,-0.8892284897751256,0.0003,0.99,0.9,0.001,400000,126
173,-0.8945562749867296,0.0003,0.9,0.95,0.001,400000,252
174,-0.9005419444681274,0.0003,0.9,0.85,0.001,200000,126
175,-0.902595523146848,0.0003,0.99,0.85,0.001,200000,126
176,-0.9084155863206719,0.001,0.99,0.9,0.001,200000,252
177,-0.9109627627100466,0.001,0.99,0.95,0.001,200000,252
178,-0.9131784278506948,0.0003,0.99,0.95,0.001,400000,126
179,-0.9170936797559648,0.0003,0.95,0.9,0.001,400000,126
180,-0.9226628958123472,0.0003,0.9,0.9,0.001,200000,126
181,-0.9249066184481226,0.0003,0.95,0.85,0.001,200000,126
182,-0.9264767840925732,0.0003,0.99,0.85,0.001,400000,126
183,-0.9296089294562155,0.001,0.9,0.95,0.001,400000,252
184,-0.9306244719727266,0.0003,0.99,0.9,0.001,400000,252
185,-0.9323971156570479,0.0003,0.95,0.85,0.001,200000,252
186,-0.935572144155299,0.0003,0.9,0.95,0.001,200000,126
187,-0.9528451570328232,0.001,0.95,0.85,0.001,400000,252
188,-0.9610430199585808,0.001,0.95,0.95,0.001,400000,126
189,-0.961385659278291,0.0003,0.9,0.95,0.001,400000,126
190,-0.9628941882766947,0.001,0.95,0.9,0.001,400000,126
191,-0.9639048030845485,0.001,0.95,0.85,0.001,200000,126
192,-0.9646991414275884,0.001,0.9,0.9,0.001,200000,252
193,-0.9725815883583633,0.001,0.95,0.9,0.001,200000,126
194,-0.9732107089301065,0.0003,0.9,0.85,0.001,400000,252
195,-0.9823372821194146,0.0003,0.9,0.9,0.001,400000,126
196,-1.003390885656932,0.001,0.95,0.95,0.001,200000,126
197,-1.0081854618530939,0.001,0.9,0.85,0.001,400000,252
198,-1.0109664260495101,0.0003,0.9,0.9,0.001,400000,252
199,-1.021615018857157,0.0003,0.95,0.9,0.001,400000,252
200,-1.0235460301410375,0.001,0.99,0.85,0.001,400000,252
201,-1.026190617810775,0.001,0.9,0.9,0.001,200000,126
202,-1.0338640731569144,0.001,0.9,0.85,0.001,400000,126
203,-1.0359363047492793,0.0003,0.99,0.85,0.001,400000,252
204,-1.0431234198746508,0.001,0.95,0.95,0.001,200000,252
205,-1.0527027903393351,0.001,0.99,0.9,0.001,200000,126
206,-1.0556241255042307,0.001,0.95,0.85,0.001,200000,252
207,-1.0666319488682612,0.001,0.95,0.95,0.001,400000,252
208,-1.0783754922466138,0.001,0.9,0.9,0.001,400000,126
209,-1.0823939442082444,0.0003,0.95,0.85,0.001,400000,126
210,-1.0903091112537133,0.001,0.9,0.95,0.001,400000,126
211,-1.0979986384890423,0.001,0.9,0.85,0.001,200000,252
212,-1.108173930959447,0.001,0.9,0.85,0.001,200000,126
213,-1.1241023208548386,0.001,0.9,0.95,0.001,200000,126
214,-1.146848965203786,0.001,0.99,0.9,0.001,400000,126
215,-1.2153293911227334,0.001,0.95,0.85,0.001,400000,126
216,-1.2478151887643463,0.0003,0.95,0.85,0.001,400000,252
